Lp  F6        x1       x2        Ocena     Średni    Najgorszy
0 0.037821 -6.208896 0.730907 0.962179 0.498009 0.076813
1 0.037821 -6.208896 0.730907 0.962179 0.508424 0.281392
2 0.037821 -6.208896 0.730907 0.962179 0.493665 0.098693
3 0.037821 -6.208896 0.730907 0.962179 0.505989 0.195277
4 0.037821 -6.208896 0.730907 0.962179 0.503273 0.196440
5 0.037821 -6.208896 0.730907 0.962179 0.493763 0.065760
6 0.037821 -6.208896 0.730907 0.962179 0.503845 0.410189
7 0.037821 -6.208896 0.730907 0.962179 0.497789 0.209410
8 0.037821 -6.208896 0.730907 0.962179 0.503032 0.157956
9 0.037821 -6.208896 0.730907 0.962179 0.497197 0.203527
10 0.037821 -6.208896 0.730907 0.962179 0.497413 0.171408
11 0.037821 -6.208896 0.730907 0.962179 0.498567 0.297213
12 0.037821 -6.208896 0.730907 0.962179 0.493631 0.237183
13 0.037821 -6.208896 0.730907 0.962179 0.488630 0.007292
14 0.037821 -6.208896 0.730907 0.962179 0.513370 0.280605
15 0.037821 -6.208896 0.730907 0.962179 0.498531 0.152806
16 0.037821 -6.208896 0.730907 0.962179 0.495343 0.224436
17 0.037821 -6.208896 0.730907 0.962179 0.497626 0.252214
18 0.037821 -6.208896 0.730907 0.962179 0.506477 0.406471
19 0.037821 -6.208896 0.730907 0.962179 0.503365 0.108201
20 0.037821 -6.208896 0.730907 0.962179 0.499960 0.389620
21 0.037821 -6.208896 0.730907 0.962179 0.510231 0.417769
22 0.037821 -6.208896 0.730907 0.962179 0.498613 0.169182
23 0.037821 -6.208896 0.730907 0.962179 0.499631 0.317853
24 0.037821 -6.208896 0.730907 0.962179 0.501963 0.205751
25 0.037821 -6.208896 0.730907 0.962179 0.502211 0.352390
26 0.037821 -6.208896 0.730907 0.962179 0.494869 0.142385
27 0.037821 -6.208896 0.730907 0.962179 0.501752 0.051155
28 0.037821 -6.208896 0.730907 0.962179 0.506742 0.021493
29 0.037821 -6.208896 0.730907 0.962179 0.506671 0.361368
30 0.037821 -6.208896 0.730907 0.962179 0.490903 0.294098
31 0.037821 -6.208896 0.730907 0.962179 0.495218 0.171187
32 0.037821 -6.208896 0.730907 0.962179 0.499887 0.253319
33 0.037821 -6.208896 0.730907 0.962179 0.499183 0.073326
34 0.037821 -6.208896 0.730907 0.962179 0.498788 0.163639
35 0.037821 -6.208896 0.730907 0.962179 0.498002 0.332949
36 0.037821 -6.208896 0.730907 0.962179 0.501056 0.223182
37 0.037821 -6.208896 0.730907 0.962179 0.500615 0.256445
38 0.037821 -6.208896 0.730907 0.962179 0.503802 0.297450
39 0.037821 -6.208896 0.730907 0.962179 0.501066 0.309401
40 0.037821 -6.208896 0.730907 0.962179 0.504712 0.301495
41 0.037821 -6.208896 0.730907 0.962179 0.500555 0.295845
42 0.037821 -6.208896 0.730907 0.962179 0.501117 0.115400
43 0.024070 2.250706 2.009613 0.975930 0.519862 0.305094
44 0.024070 2.250706 2.009613 0.975930 0.497482 0.120373
45 0.024070 2.250706 2.009613 0.975930 0.489086 0.290294
46 0.024070 2.250706 2.009613 0.975930 0.505060 0.264546
47 0.024070 2.250706 2.009613 0.975930 0.501787 0.254031
48 0.024070 2.250706 2.009613 0.975930 0.500831 0.240760
49 0.024070 2.250706 2.009613 0.975930 0.504962 0.270585
50 0.024070 2.250706 2.009613 0.975930 0.496623 0.250879
51 0.024070 2.250706 2.009613 0.975930 0.499188 0.369238
52 0.024070 2.250706 2.009613 0.975930 0.506301 0.251337
53 0.024070 2.250706 2.009613 0.975930 0.489270 0.204533
54 0.024070 2.250706 2.009613 0.975930 0.496219 0.300923
55 0.024070 2.250706 2.009613 0.975930 0.495687 0.135956
56 0.024070 2.250706 2.009613 0.975930 0.498553 0.162475
57 0.024070 2.250706 2.009613 0.975930 0.504717 0.345468
58 0.024070 2.250706 2.009613 0.975930 0.502492 0.301237
59 0.024070 2.250706 2.009613 0.975930 0.507139 0.189560
60 0.024070 2.250706 2.009613 0.975930 0.510080 0.059601
61 0.024070 2.250706 2.009613 0.975930 0.497187 0.140706
62 0.024070 2.250706 2.009613 0.975930 0.507332 0.393023
63 0.024070 2.250706 2.009613 0.975930 0.490106 0.092498
64 0.024070 2.250706 2.009613 0.975930 0.489012 0.056369
65 0.024070 2.250706 2.009613 0.975930 0.505791 0.313436
66 0.024070 2.250706 2.009613 0.975930 0.498427 0.178635
67 0.024070 2.250706 2.009613 0.975930 0.497607 0.157073
68 0.024070 2.250706 2.009613 0.975930 0.508134 0.329652
69 0.024070 2.250706 2.009613 0.975930 0.498239 0.253371
70 0.024070 2.250706 2.009613 0.975930 0.491857 0.304756
71 0.024070 2.250706 2.009613 0.975930 0.500853 0.296280
72 0.024070 2.250706 2.009613 0.975930 0.502133 0.119700
73 0.024070 2.250706 2.009613 0.975930 0.500334 0.301727
74 0.024070 2.250706 2.009613 0.975930 0.497852 0.080326
75 0.024070 2.250706 2.009613 0.975930 0.512531 0.314251
76 0.024070 2.250706 2.009613 0.975930 0.500196 0.216883
77 0.024070 2.250706 2.009613 0.975930 0.496343 0.113180
78 0.024070 2.250706 2.009613 0.975930 0.503343 0.193482
79 0.024070 2.250706 2.009613 0.975930 0.496944 0.250876
80 0.016919 -0.883497 2.922103 0.983081 0.510684 0.305325
81 0.016919 -0.883497 2.922103 0.983081 0.503562 0.352212
82 0.016919 -0.883497 2.922103 0.983081 0.502079 0.386096
83 0.016919 -0.883497 2.922103 0.983081 0.495713 0.261241
84 0.016919 -0.883497 2.922103 0.983081 0.495060 0.268397
85 0.016919 -0.883497 2.922103 0.983081 0.500253 0.058540
86 0.016919 -0.883497 2.922103 0.983081 0.494799 0.133742
87 0.016919 -0.883497 2.922103 0.983081 0.506634 0.331885
88 0.016919 -0.883497 2.922103 0.983081 0.496658 0.107565
89 0.016919 -0.883497 2.922103 0.983081 0.505353 0.237678
90 0.016919 -0.883497 2.922103 0.983081 0.506993 0.100797
91 0.016919 -0.883497 2.922103 0.983081 0.497050 0.206105
92 0.016919 -0.883497 2.922103 0.983081 0.506493 0.151872
93 0.016919 -0.883497 2.922103 0.983081 0.506062 0.253170
94 0.016919 -0.883497 2.922103 0.983081 0.505010 0.436885
95 0.016919 -0.883497 2.922103 0.983081 0.507093 0.235274
