Lp  F6        x1       x2        Ocena     Średni    Najgorszy
0 0.009720 3.096056 0.502022 0.990280 0.534344 0.156841
1 0.009720 3.096056 0.502022 0.990280 0.515952 0.022873
2 0.009720 3.096056 0.502022 0.990280 0.512434 0.011844
3 0.009720 3.096056 0.502022 0.990280 0.533110 0.154216
4 0.009720 3.096056 0.502022 0.990280 0.525995 0.056662
5 0.009720 3.096056 0.502022 0.990280 0.510836 0.062622
6 0.009720 3.096056 0.502022 0.990280 0.539359 0.043450
7 0.009720 3.096056 0.502022 0.990280 0.516955 0.022618
8 0.009720 3.096056 0.502022 0.990280 0.489368 0.009505
9 0.009720 3.096056 0.502022 0.990280 0.521110 0.098874
10 0.009720 3.096056 0.502022 0.990280 0.499425 0.028966
11 0.009720 3.096056 0.502022 0.990280 0.540224 0.011726
12 0.009720 3.096056 0.502022 0.990280 0.538315 0.047966
13 0.009720 3.096056 0.502022 0.990280 0.513373 0.022802
14 0.009720 3.096056 0.502022 0.990280 0.508488 0.072539
15 0.009720 3.096056 0.502022 0.990280 0.518450 0.060383
16 0.009720 3.096056 0.502022 0.990280 0.527574 0.108994
17 0.009720 3.096056 0.502022 0.990280 0.528898 0.073281
18 0.009720 3.096056 0.502022 0.990280 0.504880 0.112002
19 0.009720 3.096056 0.502022 0.990280 0.566628 0.037769
20 0.009716 2.470436 1.936370 0.990284 0.511712 0.195869
21 0.009716 2.470436 1.936370 0.990284 0.517021 0.135631
22 0.009716 2.470436 1.936370 0.990284 0.535820 0.111732
23 0.009716 2.470436 1.936370 0.990284 0.532338 0.071069
24 0.009716 2.470436 1.936370 0.990284 0.524412 0.060001
25 0.009716 2.470436 1.936370 0.990284 0.530052 0.246975
26 0.009716 2.470436 1.936370 0.990284 0.537347 0.056365
27 0.009716 2.470436 1.936370 0.990284 0.504173 0.105381
28 0.009716 2.470436 1.936370 0.990284 0.496035 0.074966
29 0.009716 2.470436 1.936370 0.990284 0.525695 0.114358
30 0.009716 2.470436 1.936370 0.990284 0.504900 0.004030
31 0.009716 2.470436 1.936370 0.990284 0.512458 0.028769
32 0.009716 2.470436 1.936370 0.990284 0.465269 0.007319
33 0.009716 2.470436 1.936370 0.990284 0.501393 0.088574
