Lp  F6        x1       x2        Ocena     Średni    Najgorszy
0 0.132251 -10.826276 -6.523232 0.867749 0.506225 0.259358
1 0.132251 -10.826276 -6.523232 0.867749 0.495498 0.199732
2 0.132251 -10.826276 -6.523232 0.867749 0.505619 0.294587
3 0.132251 -10.826276 -6.523232 0.867749 0.497353 0.248745
4 0.081047 -8.509957 -3.892576 0.918953 0.491444 0.181815
5 0.078516 -8.412299 -4.274052 0.921484 0.502920 0.117278
6 0.078516 -8.412299 -4.274052 0.921484 0.500827 0.310559
7 0.078516 -8.412299 -4.274052 0.921484 0.501432 0.106640
8 0.078516 -8.412299 -4.274052 0.921484 0.494598 0.211415
9 0.078516 -8.412299 -4.274052 0.921484 0.498041 0.154866
10 0.078516 -8.412299 -4.274052 0.921484 0.492015 0.021582
11 0.078516 -8.412299 -4.274052 0.921484 0.495442 0.157469
12 0.078516 -8.412299 -4.274052 0.921484 0.503595 0.022311
13 0.078516 -8.412299 -4.274052 0.921484 0.500619 0.162547
14 0.010187 -0.117494 -3.114366 0.989813 0.488104 0.108922
15 0.010187 -0.117494 -3.114366 0.989813 0.503397 0.297433
16 0.010187 -0.117494 -3.114366 0.989813 0.492335 0.070535
17 0.010187 -0.117494 -3.114366 0.989813 0.496821 0.163832
18 0.010187 -0.117494 -3.114366 0.989813 0.496652 0.182922
19 0.010187 -0.117494 -3.114366 0.989813 0.497413 0.232434
20 0.010187 -0.117494 -3.114366 0.989813 0.495465 0.260289
21 0.010187 -0.117494 -3.114366 0.989813 0.493540 0.168525
22 0.010187 -0.117494 -3.114366 0.989813 0.500234 0.238381
23 0.010187 -0.117494 -3.114366 0.989813 0.495768 0.293560
24 0.010187 -0.117494 -3.114366 0.989813 0.500235 0.061055
25 0.010187 -0.117494 -3.114366 0.989813 0.503099 0.228636
26 0.010187 -0.117494 -3.114366 0.989813 0.499440 0.039646
27 0.010187 -0.117494 -3.114366 0.989813 0.511794 0.210030
28 0.010187 -0.117494 -3.114366 0.989813 0.504463 0.388295
29 0.010187 -0.117494 -3.114366 0.989813 0.508278 0.293979
30 0.010187 -0.117494 -3.114366 0.989813 0.492336 0.122589
31 0.010187 -0.117494 -3.114366 0.989813 0.504750 0.310469
32 0.010187 -0.117494 -3.114366 0.989813 0.492465 0.059500
33 0.010187 -0.117494 -3.114366 0.989813 0.485031 0.021911
34 0.010187 -0.117494 -3.114366 0.989813 0.504204 0.251656
35 0.010187 -0.117494 -3.114366 0.989813 0.508770 0.280599
36 0.010187 -0.117494 -3.114366 0.989813 0.500082 0.295624
37 0.010187 -0.117494 -3.114366 0.989813 0.495299 0.096226
38 0.010187 -0.117494 -3.114366 0.989813 0.499619 0.122700
39 0.010187 -0.117494 -3.114366 0.989813 0.499359 0.120606
40 0.010187 -0.117494 -3.114366 0.989813 0.499900 0.311387
41 0.010187 -0.117494 -3.114366 0.989813 0.502921 0.105453
42 0.010187 -0.117494 -3.114366 0.989813 0.488378 0.162793
43 0.010187 -0.117494 -3.114366 0.989813 0.498402 0.217992
44 0.010187 -0.117494 -3.114366 0.989813 0.504305 0.197861
45 0.010187 -0.117494 -3.114366 0.989813 0.499157 0.252625
46 0.010187 -0.117494 -3.114366 0.989813 0.510873 0.429117
47 0.010187 -0.117494 -3.114366 0.989813 0.495873 0.129569
48 0.010187 -0.117494 -3.114366 0.989813 0.494049 0.182689
49 0.010187 -0.117494 -3.114366 0.989813 0.501210 0.330316
50 0.010187 -0.117494 -3.114366 0.989813 0.500628 0.258923
51 0.010187 -0.117494 -3.114366 0.989813 0.502478 0.136269
52 0.010187 -0.117494 -3.114366 0.989813 0.503611 0.161770
53 0.010187 -0.117494 -3.114366 0.989813 0.503989 0.144323
54 0.010187 -0.117494 -3.114366 0.989813 0.497961 0.158503
55 0.010187 -0.117494 -3.114366 0.989813 0.499892 0.135768
56 0.010187 -0.117494 -3.114366 0.989813 0.503797 0.106623
57 0.010187 -0.117494 -3.114366 0.989813 0.508771 0.340330
58 0.010187 -0.117494 -3.114366 0.989813 0.495694 0.237989
59 0.010187 -0.117494 -3.114366 0.989813 0.492604 0.136664
60 0.010187 -0.117494 -3.114366 0.989813 0.502045 0.157012
61 0.010187 -0.117494 -3.114366 0.989813 0.500216 0.138849
62 0.010187 -0.117494 -3.114366 0.989813 0.501874 0.123336
63 0.010187 -0.117494 -3.114366 0.989813 0.498281 0.154072
64 0.010187 -0.117494 -3.114366 0.989813 0.499247 0.153683
65 0.010187 -0.117494 -3.114366 0.989813 0.491180 0.067961
66 0.010187 -0.117494 -3.114366 0.989813 0.497350 0.154684
67 0.010187 -0.117494 -3.114366 0.989813 0.495806 0.104497
68 0.010187 -0.117494 -3.114366 0.989813 0.488536 0.185294
69 0.010187 -0.117494 -3.114366 0.989813 0.493140 0.272768
70 0.010187 -0.117494 -3.114366 0.989813 0.495089 0.009200
71 0.010187 -0.117494 -3.114366 0.989813 0.503957 0.310572
72 0.010187 -0.117494 -3.114366 0.989813 0.490080 0.058408
73 0.010187 -0.117494 -3.114366 0.989813 0.506247 0.222846
74 0.010187 -0.117494 -3.114366 0.989813 0.502785 0.110529
75 0.010187 -0.117494 -3.114366 0.989813 0.502431 0.361525
76 0.010187 -0.117494 -3.114366 0.989813 0.497264 0.282721
77 0.010187 -0.117494 -3.114366 0.989813 0.498604 0.145254
78 0.010187 -0.117494 -3.114366 0.989813 0.500692 0.100983
79 0.010187 -0.117494 -3.114366 0.989813 0.491178 0.059248
80 0.010187 -0.117494 -3.114366 0.989813 0.502039 0.172579
81 0.010187 -0.117494 -3.114366 0.989813 0.496729 0.368454
82 0.010187 -0.117494 -3.114366 0.989813 0.494191 0.106398
83 0.010187 -0.117494 -3.114366 0.989813 0.498836 0.152790
84 0.010187 -0.117494 -3.114366 0.989813 0.497656 0.351430
85 0.010187 -0.117494 -3.114366 0.989813 0.499099 0.112536
86 0.010187 -0.117494 -3.114366 0.989813 0.507927 0.385400
87 0.010187 -0.117494 -3.114366 0.989813 0.502501 0.204021
88 0.010187 -0.117494 -3.114366 0.989813 0.489703 0.203722
89 0.010187 -0.117494 -3.114366 0.989813 0.505999 0.333568
90 0.010187 -0.117494 -3.114366 0.989813 0.506456 0.397820
91 0.010187 -0.117494 -3.114366 0.989813 0.495719 0.264388
92 0.010187 -0.117494 -3.114366 0.989813 0.501393 0.304175
93 0.010187 -0.117494 -3.114366 0.989813 0.491954 0.058724
94 0.010187 -0.117494 -3.114366 0.989813 0.494766 0.175669
95 0.010187 -0.117494 -3.114366 0.989813 0.492714 0.197190
96 0.010187 -0.117494 -3.114366 0.989813 0.504687 0.203724
97 0.010187 -0.117494 -3.114366 0.989813 0.489708 0.204268
98 0.010187 -0.117494 -3.114366 0.989813 0.499255 0.061653
99 0.010187 -0.117494 -3.114366 0.989813 0.497540 0.065592
100 0.010187 -0.117494 -3.114366 0.989813 0.503062 0.200150
101 0.010187 -0.117494 -3.114366 0.989813 0.485306 0.125680
102 0.010187 -0.117494 -3.114366 0.989813 0.493708 0.168122
103 0.010187 -0.117494 -3.114366 0.989813 0.498799 0.251504
104 0.010187 -0.117494 -3.114366 0.989813 0.501490 0.315613
105 0.010187 -0.117494 -3.114366 0.989813 0.511167 0.410480
106 0.010187 -0.117494 -3.114366 0.989813 0.502315 0.184705
107 0.010187 -0.117494 -3.114366 0.989813 0.498648 0.081276
108 0.010187 -0.117494 -3.114366 0.989813 0.489339 0.120125
109 0.010187 -0.117494 -3.114366 0.989813 0.493429 0.167550
110 0.010187 -0.117494 -3.114366 0.989813 0.499382 0.206691
111 0.010187 -0.117494 -3.114366 0.989813 0.505323 0.264301
112 0.010187 -0.117494 -3.114366 0.989813 0.497897 0.206722
113 0.010187 -0.117494 -3.114366 0.989813 0.499562 0.122204
114 0.010187 -0.117494 -3.114366 0.989813 0.488508 0.062586
115 0.010187 -0.117494 -3.114366 0.989813 0.501953 0.207668
116 0.010187 -0.117494 -3.114366 0.989813 0.493642 0.159811
117 0.010187 -0.117494 -3.114366 0.989813 0.509767 0.224956
118 0.010187 -0.117494 -3.114366 0.989813 0.491506 0.191615
119 0.010187 -0.117494 -3.114366 0.989813 0.490508 0.076051
120 0.010187 -0.117494 -3.114366 0.989813 0.485708 0.206912
121 0.010187 -0.117494 -3.114366 0.989813 0.503996 0.245817
122 0.010187 -0.117494 -3.114366 0.989813 0.490306 0.165541
123 0.010187 -0.117494 -3.114366 0.989813 0.507082 0.167944
124 0.010187 -0.117494 -3.114366 0.989813 0.497552 0.110279
125 0.010187 -0.117494 -3.114366 0.989813 0.501921 0.383441
126 0.010187 -0.117494 -3.114366 0.989813 0.503729 0.317380
127 0.010187 -0.117494 -3.114366 0.989813 0.501458 0.263351
128 0.010187 -0.117494 -3.114366 0.989813 0.511217 0.293861
129 0.010187 -0.117494 -3.114366 0.989813 0.488270 0.144428
130 0.010187 -0.117494 -3.114366 0.989813 0.499574 0.045302
131 0.010187 -0.117494 -3.114366 0.989813 0.483206 0.079600
132 0.010187 -0.117494 -3.114366 0.989813 0.497219 0.279451
133 0.010187 -0.117494 -3.114366 0.989813 0.505013 0.349513
134 0.010187 -0.117494 -3.114366 0.989813 0.514260 0.382473
135 0.010187 -0.117494 -3.114366 0.989813 0.500581 0.059475
136 0.010187 -0.117494 -3.114366 0.989813 0.506675 0.254228
137 0.010187 -0.117494 -3.114366 0.989813 0.504826 0.278783
138 0.010187 -0.117494 -3.114366 0.989813 0.506120 0.293364
139 0.010187 -0.117494 -3.114366 0.989813 0.503737 0.313982
140 0.010187 -0.117494 -3.114366 0.989813 0.505930 0.256530
141 0.010187 -0.117494 -3.114366 0.989813 0.505780 0.219897
142 0.010187 -0.117494 -3.114366 0.989813 0.495573 0.107466
143 0.010187 -0.117494 -3.114366 0.989813 0.501663 0.408270
144 0.010187 -0.117494 -3.114366 0.989813 0.488470 0.156799
145 0.010187 -0.117494 -3.114366 0.989813 0.496439 0.185621
146 0.010187 -0.117494 -3.114366 0.989813 0.501470 0.394882
147 0.010187 -0.117494 -3.114366 0.989813 0.491158 0.121539
148 0.010187 -0.117494 -3.114366 0.989813 0.492078 0.127156
149 0.010187 -0.117494 -3.114366 0.989813 0.500761 0.068805
150 0.010187 -0.117494 -3.114366 0.989813 0.495496 0.186779
151 0.010187 -0.117494 -3.114366 0.989813 0.497950 0.234744
152 0.010187 -0.117494 -3.114366 0.989813 0.497116 0.276943
153 0.010187 -0.117494 -3.114366 0.989813 0.498545 0.199983
154 0.010187 -0.117494 -3.114366 0.989813 0.510185 0.222930
155 0.010187 -0.117494 -3.114366 0.989813 0.483991 0.059303
156 0.010187 -0.117494 -3.114366 0.989813 0.499677 0.199475
157 0.010187 -0.117494 -3.114366 0.989813 0.498528 0.212917
158 0.010187 -0.117494 -3.114366 0.989813 0.494282 0.194055
159 0.010187 -0.117494 -3.114366 0.989813 0.496238 0.155628
160 0.010187 -0.117494 -3.114366 0.989813 0.503243 0.348583
161 0.010187 -0.117494 -3.114366 0.989813 0.503181 0.047868
162 0.010187 -0.117494 -3.114366 0.989813 0.498815 0.209274
163 0.010187 -0.117494 -3.114366 0.989813 0.503528 0.263724
164 0.010187 -0.117494 -3.114366 0.989813 0.490606 0.114402
165 0.010187 -0.117494 -3.114366 0.989813 0.506443 0.372026
166 0.010187 -0.117494 -3.114366 0.989813 0.505856 0.326946
167 0.010187 -0.117494 -3.114366 0.989813 0.514182 0.311997
168 0.010187 -0.117494 -3.114366 0.989813 0.497628 0.248239
169 0.010187 -0.117494 -3.114366 0.989813 0.500570 0.163711
170 0.010187 -0.117494 -3.114366 0.989813 0.497004 0.109716
171 0.010187 -0.117494 -3.114366 0.989813 0.499990 0.021503
172 0.010187 -0.117494 -3.114366 0.989813 0.503373 0.209633
173 0.010187 -0.117494 -3.114366 0.989813 0.497265 0.061824
174 0.010187 -0.117494 -3.114366 0.989813 0.502071 0.250348
175 0.010187 -0.117494 -3.114366 0.989813 0.488724 0.032124
176 0.010187 -0.117494 -3.114366 0.989813 0.502742 0.193546
177 0.010187 -0.117494 -3.114366 0.989813 0.496708 0.137772
178 0.010187 -0.117494 -3.114366 0.989813 0.511472 0.245993
179 0.010187 -0.117494 -3.114366 0.989813 0.498696 0.158285
180 0.010187 -0.117494 -3.114366 0.989813 0.496611 0.003622
181 0.010187 -0.117494 -3.114366 0.989813 0.499494 0.077540
182 0.010187 -0.117494 -3.114366 0.989813 0.511543 0.347499
183 0.010187 -0.117494 -3.114366 0.989813 0.511433 0.386310
184 0.010187 -0.117494 -3.114366 0.989813 0.502119 0.408782
185 0.010187 -0.117494 -3.114366 0.989813 0.497910 0.255621
186 0.010187 -0.117494 -3.114366 0.989813 0.501303 0.368785
187 0.010187 -0.117494 -3.114366 0.989813 0.494797 0.245648
188 0.010187 -0.117494 -3.114366 0.989813 0.496306 0.199540
189 0.010187 -0.117494 -3.114366 0.989813 0.502496 0.244286
190 0.010187 -0.117494 -3.114366 0.989813 0.499313 0.324227
191 0.010187 -0.117494 -3.114366 0.989813 0.492411 0.102176
192 0.010187 -0.117494 -3.114366 0.989813 0.508720 0.152836
193 0.010187 -0.117494 -3.114366 0.989813 0.504754 0.162828
194 0.010187 -0.117494 -3.114366 0.989813 0.509017 0.102016
195 0.010187 -0.117494 -3.114366 0.989813 0.499707 0.183272
196 0.010187 -0.117494 -3.114366 0.989813 0.507682 0.423494
197 0.010187 -0.117494 -3.114366 0.989813 0.503035 0.422795
198 0.010187 -0.117494 -3.114366 0.989813 0.506556 0.210140
199 0.010187 -0.117494 -3.114366 0.989813 0.501801 0.133115
200 0.010187 -0.117494 -3.114366 0.989813 0.497379 0.172834
201 0.010187 -0.117494 -3.114366 0.989813 0.495656 0.210887
202 0.010187 -0.117494 -3.114366 0.989813 0.502924 0.221919
203 0.010187 -0.117494 -3.114366 0.989813 0.504005 0.300361
204 0.010187 -0.117494 -3.114366 0.989813 0.495565 0.293246
205 0.010187 -0.117494 -3.114366 0.989813 0.504436 0.349013
206 0.010187 -0.117494 -3.114366 0.989813 0.505144 0.360079
207 0.010187 -0.117494 -3.114366 0.989813 0.500045 0.207002
208 0.010187 -0.117494 -3.114366 0.989813 0.487784 0.102369
209 0.010187 -0.117494 -3.114366 0.989813 0.497851 0.336743
210 0.010187 -0.117494 -3.114366 0.989813 0.504888 0.074546
211 0.010187 -0.117494 -3.114366 0.989813 0.498909 0.188395
