Lp  F6        x1       x2        Ocena     Średni    Najgorszy
0 0.144518 2.687114 12.422370 0.855482 0.495677 0.078819
1 0.144518 2.687114 12.422370 0.855482 0.500122 0.152875
2 0.144518 2.687114 12.422370 0.855482 0.491153 0.257738
3 0.144518 2.687114 12.422370 0.855482 0.492914 0.109230
4 0.144518 2.687114 12.422370 0.855482 0.500249 0.286265
5 0.144518 2.687114 12.422370 0.855482 0.495254 0.157019
6 0.144518 2.687114 12.422370 0.855482 0.501144 0.165714
7 0.144518 2.687114 12.422370 0.855482 0.505497 0.340070
8 0.144518 2.687114 12.422370 0.855482 0.502388 0.152773
9 0.144518 2.687114 12.422370 0.855482 0.496680 0.161930
10 0.144518 2.687114 12.422370 0.855482 0.493942 0.058322
11 0.133431 -9.971771 7.475395 0.866569 0.501182 0.355692
12 0.133431 -9.971771 7.475395 0.866569 0.485668 0.107963
13 0.133431 -9.971771 7.475395 0.866569 0.492155 0.103160
14 0.133431 -9.971771 7.475395 0.866569 0.500341 0.339570
15 0.133431 -9.971771 7.475395 0.866569 0.498127 0.367991
16 0.127433 -12.513924 -0.657664 0.872567 0.500423 0.312388
17 0.127433 -12.513924 -0.657664 0.872567 0.509635 0.329553
18 0.127433 -12.513924 -0.657664 0.872567 0.499355 0.248149
19 0.127433 -12.513924 -0.657664 0.872567 0.509067 0.289382
20 0.107161 1.234455 9.523156 0.892839 0.495612 0.112037
21 0.107161 1.234455 9.523156 0.892839 0.489012 0.158280
22 0.107161 1.234455 9.523156 0.892839 0.508127 0.163403
23 0.079952 6.837568 6.407263 0.920048 0.504936 0.184474
24 0.079952 6.837568 6.407263 0.920048 0.497369 0.195238
25 0.037286 5.378805 -3.251698 0.962714 0.509759 0.439234
26 0.037286 5.378805 -3.251698 0.962714 0.505644 0.157781
27 0.037286 5.378805 -3.251698 0.962714 0.502904 0.229035
28 0.037286 5.378805 -3.251698 0.962714 0.505435 0.437772
29 0.037286 5.378805 -3.251698 0.962714 0.513814 0.252597
30 0.037286 5.378805 -3.251698 0.962714 0.502095 0.251167
31 0.037286 5.378805 -3.251698 0.962714 0.500698 0.185352
32 0.037286 5.378805 -3.251698 0.962714 0.490066 0.110659
33 0.037286 5.378805 -3.251698 0.962714 0.503068 0.211178
34 0.037286 5.378805 -3.251698 0.962714 0.488885 0.109513
35 0.037286 5.378805 -3.251698 0.962714 0.498322 0.023182
36 0.037286 5.378805 -3.251698 0.962714 0.489571 0.193488
37 0.037286 5.378805 -3.251698 0.962714 0.494110 0.232405
38 0.037286 5.378805 -3.251698 0.962714 0.505405 0.373343
39 0.037286 5.378805 -3.251698 0.962714 0.506893 0.082334
40 0.037286 5.378805 -3.251698 0.962714 0.506158 0.334070
41 0.037286 5.378805 -3.251698 0.962714 0.500838 0.108331
42 0.037286 5.378805 -3.251698 0.962714 0.493892 0.118789
43 0.037286 5.378805 -3.251698 0.962714 0.498783 0.103951
44 0.037286 5.378805 -3.251698 0.962714 0.502728 0.326717
45 0.037286 5.378805 -3.251698 0.962714 0.503806 0.253176
46 0.037286 5.378805 -3.251698 0.962714 0.498599 0.203582
47 0.037286 5.378805 -3.251698 0.962714 0.498535 0.206237
48 0.037286 5.378805 -3.251698 0.962714 0.500996 0.156479
49 0.037286 5.378805 -3.251698 0.962714 0.487666 0.012736
50 0.037286 5.378805 -3.251698 0.962714 0.492548 0.144120
51 0.037286 5.378805 -3.251698 0.962714 0.511734 0.267149
52 0.037286 5.378805 -3.251698 0.962714 0.501781 0.155316
53 0.037286 5.378805 -3.251698 0.962714 0.491191 0.134786
54 0.037286 5.378805 -3.251698 0.962714 0.494549 0.103255
55 0.037286 5.378805 -3.251698 0.962714 0.493456 0.293190
56 0.037286 5.378805 -3.251698 0.962714 0.502258 0.336018
57 0.037286 5.378805 -3.251698 0.962714 0.504432 0.331330
58 0.037286 5.378805 -3.251698 0.962714 0.503925 0.153633
59 0.037286 5.378805 -3.251698 0.962714 0.505481 0.117514
60 0.037286 5.378805 -3.251698 0.962714 0.504328 0.281825
61 0.037286 5.378805 -3.251698 0.962714 0.497321 0.293215
62 0.037286 5.378805 -3.251698 0.962714 0.493927 0.188054
63 0.037286 5.378805 -3.251698 0.962714 0.506316 0.106425
64 0.037286 5.378805 -3.251698 0.962714 0.503041 0.373358
65 0.037286 5.378805 -3.251698 0.962714 0.505837 0.358359
66 0.009718 2.958724 -1.042191 0.990282 0.507265 0.153068
67 0.009718 2.958724 -1.042191 0.990282 0.507545 0.290745
68 0.009718 2.958724 -1.042191 0.990282 0.501725 0.247763
69 0.009718 2.958724 -1.042191 0.990282 0.495858 0.314214
70 0.009718 2.958724 -1.042191 0.990282 0.499113 0.212870
71 0.009718 2.958724 -1.042191 0.990282 0.509220 0.292987
72 0.009718 2.958724 -1.042191 0.990282 0.495010 0.151823
73 0.009718 2.958724 -1.042191 0.990282 0.498700 0.276577
74 0.009718 2.958724 -1.042191 0.990282 0.494198 0.041145
75 0.009718 2.958724 -1.042191 0.990282 0.488534 0.003823
76 0.009718 2.958724 -1.042191 0.990282 0.497938 0.030246
77 0.009718 2.958724 -1.042191 0.990282 0.489201 0.142904
78 0.009718 2.958724 -1.042191 0.990282 0.514905 0.104569
79 0.009718 2.958724 -1.042191 0.990282 0.492284 0.099211
80 0.009718 2.958724 -1.042191 0.990282 0.505238 0.425039
81 0.009718 2.958724 -1.042191 0.990282 0.490289 0.080190
82 0.009718 2.958724 -1.042191 0.990282 0.491730 0.103585
