Lp  F6        x1       x2        Ocena     Średni    Najgorszy
0 0.056311 -2.311742 5.680934 0.943689 0.512860 0.032855
1 0.039545 6.053254 -1.841764 0.960455 0.519255 0.021683
2 0.039464 -6.053254 1.838712 0.960536 0.530630 0.057281
3 0.011759 2.146944 -2.226291 0.988241 0.504160 0.068463
4 0.010070 -2.140841 2.320897 0.989930 0.534906 0.269677
5 0.010070 -2.140841 2.320897 0.989930 0.518941 0.157469
6 0.010070 -2.140841 2.320897 0.989930 0.524276 0.010783
7 0.009951 2.290379 -2.168307 0.990049 0.514433 0.119405
8 0.009951 2.290379 -2.168307 0.990049 0.515291 0.060965
9 0.009951 2.290379 -2.168307 0.990049 0.522220 0.158037
10 0.009734 -1.701381 2.632181 0.990266 0.498290 0.052048
11 0.009734 -1.701381 2.632181 0.990266 0.504654 0.041063
12 0.009734 -1.701381 2.632181 0.990266 0.506863 0.021478
13 0.009734 -1.701381 2.632181 0.990266 0.504857 0.103829
14 0.009734 -1.701381 2.632181 0.990266 0.489296 0.003473
15 0.009734 -1.701381 2.632181 0.990266 0.539851 0.022033
16 0.009717 -0.648508 3.071641 0.990283 0.517587 0.008413
17 0.009717 -0.648508 3.071641 0.990283 0.525881 0.022997
18 0.009717 -0.648508 3.071641 0.990283 0.539345 0.220040
19 0.009717 -0.648508 3.071641 0.990283 0.520031 0.058897
20 0.009717 -0.648508 3.071641 0.990283 0.507522 0.002552
21 0.009717 -0.648508 3.071641 0.990283 0.526106 0.047994
22 0.009717 -0.648508 3.071641 0.990283 0.478794 0.013164
23 0.009717 -0.648508 3.071641 0.990283 0.522302 0.066363
24 0.009717 -0.648508 3.071641 0.990283 0.537991 0.006606
25 0.009717 -0.648508 3.071641 0.990283 0.495291 0.042196
26 0.009717 -0.648508 3.071641 0.990283 0.505180 0.103049
27 0.009717 -0.648508 3.071641 0.990283 0.521082 0.011248
28 0.009717 -0.648508 3.071641 0.990283 0.505667 0.009461
29 0.009717 -0.648508 3.071641 0.990283 0.511923 0.022121
30 0.009717 -0.648508 3.071641 0.990283 0.515837 0.009353
31 0.009717 -0.648508 3.071641 0.990283 0.540608 0.093237
32 0.009717 -0.648508 3.071641 0.990283 0.508326 0.099917
33 0.009717 -0.648508 3.071641 0.990283 0.518073 0.041219
34 0.009717 -0.648508 3.071641 0.990283 0.527209 0.025068
35 0.009717 -0.648508 3.071641 0.990283 0.484709 0.021494
36 0.009717 -0.648508 3.071641 0.990283 0.517214 0.021489
37 0.009717 -0.648508 3.071641 0.990283 0.508418 0.004475
38 0.009717 -0.648508 3.071641 0.990283 0.505745 0.080427
39 0.009717 -0.648508 3.071641 0.990283 0.496786 0.079207
40 0.009717 -0.648508 3.071641 0.990283 0.544761 0.055804
41 0.009717 -0.648508 3.071641 0.990283 0.542131 0.056638
42 0.009717 -0.648508 3.071641 0.990283 0.522942 0.155964
43 0.009717 -0.648508 3.071641 0.990283 0.548106 0.059248
44 0.009717 -0.648508 3.071641 0.990283 0.531623 0.050287
45 0.009717 -0.648508 3.071641 0.990283 0.498819 0.103208
46 0.009717 -0.648508 3.071641 0.990283 0.501650 0.102088
47 0.009717 -0.648508 3.071641 0.990283 0.524177 0.068437
48 0.009717 -0.648508 3.071641 0.990283 0.492796 0.056461
49 0.009717 -0.648508 3.071641 0.990283 0.531293 0.131187
50 0.009717 -0.648508 3.071641 0.990283 0.492663 0.019668
51 0.009717 -0.648508 3.071641 0.990283 0.517361 0.060099
52 0.009717 -0.648508 3.071641 0.990283 0.509655 0.038028
53 0.009717 -0.648508 3.071641 0.990283 0.522745 0.021690
54 0.009717 -0.648508 3.071641 0.990283 0.514885 0.004298
55 0.009717 -0.648508 3.071641 0.990283 0.519209 0.058073
56 0.009717 -0.648508 3.071641 0.990283 0.546568 0.256491
57 0.009717 -0.648508 3.071641 0.990283 0.521495 0.023872
58 0.009717 -0.648508 3.071641 0.990283 0.548435 0.022317
59 0.009717 -0.648508 3.071641 0.990283 0.505304 0.022851
60 0.009717 -0.648508 3.071641 0.990283 0.517048 0.003934
61 0.009717 -0.648508 3.071641 0.990283 0.538808 0.004403
62 0.009717 -0.648508 3.071641 0.990283 0.519784 0.063249
63 0.009717 -0.648508 3.071641 0.990283 0.519076 0.059072
64 0.009717 -0.648508 3.071641 0.990283 0.501867 0.016829
65 0.009717 -0.648508 3.071641 0.990283 0.502435 0.086193
66 0.009717 -0.648508 3.071641 0.990283 0.513324 0.056800
67 0.009717 -0.648508 3.071641 0.990283 0.509369 0.021726
68 0.009717 -0.648508 3.071641 0.990283 0.528817 0.011592
69 0.009717 -0.648508 3.071641 0.990283 0.527127 0.095352
70 0.009717 -0.648508 3.071641 0.990283 0.525191 0.027219
71 0.009717 -0.648508 3.071641 0.990283 0.525192 0.043279
72 0.009717 -0.648508 3.071641 0.990283 0.500743 0.021470
73 0.009717 -0.648508 3.071641 0.990283 0.502992 0.051142
74 0.009717 -0.648508 3.071641 0.990283 0.513508 0.071305
75 0.009717 -0.648508 3.071641 0.990283 0.510495 0.024262
76 0.009717 -0.648508 3.071641 0.990283 0.505919 0.072899
77 0.009717 -0.648508 3.071641 0.990283 0.508706 0.056860
78 0.009717 -0.648508 3.071641 0.990283 0.536073 0.050278
79 0.009717 -0.648508 3.071641 0.990283 0.497988 0.003518
80 0.009717 -0.648508 3.071641 0.990283 0.538581 0.022773
81 0.009717 -0.648508 3.071641 0.990283 0.497986 0.014242
82 0.009717 -0.648508 3.071641 0.990283 0.498984 0.056440
83 0.009717 -0.648508 3.071641 0.990283 0.514597 0.020921
84 0.009717 -0.648508 3.071641 0.990283 0.512605 0.034085
85 0.009717 -0.648508 3.071641 0.990283 0.517544 0.174527
86 0.009717 -0.648508 3.071641 0.990283 0.517815 0.014110
