Lp  F6        x1       x2        Ocena     Średni    Najgorszy
0 0.219529 5.781643 -0.660716 0.780471 0.504607 0.398343
1 0.219529 5.781643 -0.660716 0.780471 0.498145 0.183050
2 0.219529 5.781643 -0.660716 0.780471 0.497757 0.204248
3 0.219529 5.781643 -0.660716 0.780471 0.497993 0.102449
4 0.040080 2.748150 5.705348 0.959920 0.508085 0.231652
5 0.040080 2.748150 5.705348 0.959920 0.500657 0.356372
6 0.040080 2.748150 5.705348 0.959920 0.499138 0.239489
7 0.040080 2.748150 5.705348 0.959920 0.499268 0.156367
8 0.040080 2.748150 5.705348 0.959920 0.510800 0.213856
9 0.040080 2.748150 5.705348 0.959920 0.498846 0.033004
10 0.040080 2.748150 5.705348 0.959920 0.492566 0.256126
11 0.040080 2.748150 5.705348 0.959920 0.503852 0.034259
12 0.040080 2.748150 5.705348 0.959920 0.506429 0.062099
13 0.040080 2.748150 5.705348 0.959920 0.502784 0.149539
14 0.040080 2.748150 5.705348 0.959920 0.494623 0.057525
15 0.040080 2.748150 5.705348 0.959920 0.507653 0.333667
16 0.040080 2.748150 5.705348 0.959920 0.510722 0.304854
17 0.040080 2.748150 5.705348 0.959920 0.510345 0.259706
18 0.037934 3.065537 5.445945 0.962066 0.503990 0.250888
19 0.037934 3.065537 5.445945 0.962066 0.493243 0.044352
20 0.037934 3.065537 5.445945 0.962066 0.489893 0.128928
21 0.037934 3.065537 5.445945 0.962066 0.500114 0.198094
22 0.037934 3.065537 5.445945 0.962066 0.492749 0.153711
23 0.037934 3.065537 5.445945 0.962066 0.498518 0.206845
24 0.037934 3.065537 5.445945 0.962066 0.504578 0.208537
25 0.037934 3.065537 5.445945 0.962066 0.490100 0.039174
26 0.037934 3.065537 5.445945 0.962066 0.505284 0.293900
27 0.037934 3.065537 5.445945 0.962066 0.509322 0.321769
28 0.037934 3.065537 5.445945 0.962066 0.492957 0.227528
29 0.037934 3.065537 5.445945 0.962066 0.502628 0.322418
30 0.037934 3.065537 5.445945 0.962066 0.508727 0.116229
31 0.037934 3.065537 5.445945 0.962066 0.505865 0.252769
32 0.037934 3.065537 5.445945 0.962066 0.509213 0.398862
33 0.037934 3.065537 5.445945 0.962066 0.502990 0.304845
34 0.037934 3.065537 5.445945 0.962066 0.504295 0.251950
35 0.037934 3.065537 5.445945 0.962066 0.500538 0.021640
36 0.037934 3.065537 5.445945 0.962066 0.506542 0.295454
