Lp  F6        x1       x2        Ocena     Średni    Najgorszy
0 0.053892 -5.912871 1.664759 0.946108 0.491591 0.028868
1 0.038281 -6.010529 1.689174 0.961719 0.513315 0.021505
2 0.010204 -2.537575 1.884489 0.989796 0.513748 0.027920
3 0.010128 -2.537575 1.881437 0.989872 0.525722 0.115962
4 0.009836 -2.488746 1.930266 0.990164 0.541506 0.062314
5 0.009836 -2.488746 1.930266 0.990164 0.551301 0.175696
6 0.009716 -2.488746 1.911955 0.990284 0.577025 0.118958
7 0.009716 -2.488746 1.911955 0.990284 0.521332 0.071790
8 0.009716 -2.488746 1.911955 0.990284 0.520609 0.070420
9 0.009716 -2.488746 1.911955 0.990284 0.521056 0.122821
10 0.009716 -2.488746 1.911955 0.990284 0.562059 0.035798
11 0.009716 -2.488746 1.911955 0.990284 0.499250 0.003312
12 0.009716 -2.488746 1.911955 0.990284 0.539233 0.002467
13 0.009716 -2.488746 1.911955 0.990284 0.513181 0.004919
14 0.009716 -2.488746 1.911955 0.990284 0.511991 0.124765
15 0.009716 -2.488746 1.911955 0.990284 0.526651 0.087306
16 0.009716 -2.488746 1.911955 0.990284 0.535017 0.053279
17 0.009716 -2.488746 1.911955 0.990284 0.543194 0.063089
18 0.009716 -2.488746 1.911955 0.990284 0.488986 0.021774
19 0.009716 -2.488746 1.911955 0.990284 0.530808 0.003242
20 0.009716 -2.488746 1.911955 0.990284 0.482498 0.033058
21 0.009716 -2.488746 1.911955 0.990284 0.525334 0.049917
22 0.009716 -2.488746 1.911955 0.990284 0.512507 0.118084
23 0.009716 -2.488746 1.911955 0.990284 0.514691 0.011828
24 0.009716 -2.488746 1.911955 0.990284 0.506606 0.011292
25 0.009716 -2.488746 1.911955 0.990284 0.493829 0.002500
26 0.009716 -2.488746 1.911955 0.990284 0.503298 0.027346
27 0.009716 -2.488746 1.911955 0.990284 0.521818 0.087285
28 0.009716 -2.488746 1.911955 0.990284 0.536379 0.022152
29 0.009716 -2.488746 1.911955 0.990284 0.483424 0.016552
30 0.009716 -2.488746 1.911955 0.990284 0.494252 0.003860
31 0.009716 -2.488746 1.911955 0.990284 0.534219 0.002603
32 0.009716 -2.488746 1.911955 0.990284 0.542460 0.003004
33 0.009716 -2.488746 1.911955 0.990284 0.541202 0.033084
34 0.009716 -2.488746 1.911955 0.990284 0.531305 0.002732
35 0.009716 -2.488746 1.911955 0.990284 0.506474 0.056704
36 0.009716 -2.488746 1.911955 0.990284 0.498258 0.053050
37 0.009716 -2.488746 1.911955 0.990284 0.515371 0.056879
38 0.009716 -2.488746 1.911955 0.990284 0.522020 0.039774
39 0.009716 -2.488746 1.911955 0.990284 0.506542 0.103641
40 0.009716 -2.488746 1.911955 0.990284 0.546705 0.009809
41 0.009716 -2.488746 1.911955 0.990284 0.494281 0.005041
42 0.009716 -2.488746 1.911955 0.990284 0.523196 0.054681
43 0.009716 -2.488746 1.911955 0.990284 0.535210 0.072931
44 0.009716 -2.488746 1.911955 0.990284 0.539151 0.096162
45 0.009716 -2.488746 1.911955 0.990284 0.525265 0.003478
46 0.009716 -2.488746 1.911955 0.990284 0.526943 0.005942
47 0.009716 -2.488746 1.911955 0.990284 0.512151 0.026143
48 0.009716 -2.488746 1.911955 0.990284 0.525085 0.056750
49 0.009716 -2.488746 1.911955 0.990284 0.525528 0.204410
50 0.009716 -2.488746 1.911955 0.990284 0.502260 0.016467
51 0.009716 -2.488746 1.911955 0.990284 0.554116 0.117349
52 0.009716 -2.488746 1.911955 0.990284 0.490764 0.065032
53 0.009716 -2.488746 1.911955 0.990284 0.500146 0.052948
54 0.009716 -2.488746 1.911955 0.990284 0.501705 0.045586
55 0.009716 -2.488746 1.911955 0.990284 0.470972 0.034169
56 0.009716 -2.488746 1.911955 0.990284 0.507502 0.057028
57 0.009716 -2.488746 1.911955 0.990284 0.519404 0.021497
58 0.009716 -2.488746 1.911955 0.990284 0.511492 0.057573
59 0.009716 -2.488746 1.911955 0.990284 0.521493 0.002889
60 0.009716 -2.488746 1.911955 0.990284 0.509257 0.148853
61 0.009716 -2.488746 1.911955 0.990284 0.520763 0.047475
62 0.009716 -2.488746 1.911955 0.990284 0.552115 0.209571
63 0.009716 -2.488746 1.911955 0.990284 0.517865 0.007104
64 0.009716 -2.488746 1.911955 0.990284 0.556523 0.025529
65 0.009716 -2.488746 1.911955 0.990284 0.514418 0.042760
66 0.009716 -2.488746 1.911955 0.990284 0.530038 0.020678
67 0.009716 -2.488746 1.911955 0.990284 0.502883 0.021754
68 0.009716 -2.488746 1.911955 0.990284 0.534268 0.021545
69 0.009716 -2.488746 1.911955 0.990284 0.517201 0.065228
70 0.009716 -2.488746 1.911955 0.990284 0.526470 0.002726
71 0.009716 -2.488746 1.911955 0.990284 0.534343 0.033923
72 0.009716 -2.488746 1.911955 0.990284 0.540522 0.170290
73 0.009716 -2.488746 1.911955 0.990284 0.489000 0.003641
74 0.009716 -2.488746 1.911955 0.990284 0.502058 0.152626
75 0.009716 -2.488746 1.911955 0.990284 0.505789 0.015078
76 0.009716 -2.488746 1.911955 0.990284 0.526102 0.090614
77 0.009716 -2.488746 1.911955 0.990284 0.517929 0.066592
78 0.009716 -2.488746 1.911955 0.990284 0.504033 0.038710
79 0.009716 -2.488746 1.911955 0.990284 0.517868 0.029244
80 0.009716 -2.488746 1.911955 0.990284 0.532331 0.046502
81 0.009716 -2.488746 1.911955 0.990284 0.511700 0.033290
82 0.009716 -2.488746 1.911955 0.990284 0.522400 0.021807
83 0.009716 -2.488746 1.911955 0.990284 0.479723 0.062173
84 0.009716 -2.488746 1.911955 0.990284 0.505006 0.112202
85 0.009716 -2.488746 1.911955 0.990284 0.534941 0.002671
86 0.009716 -2.488746 1.911955 0.990284 0.510389 0.057117
87 0.009716 -2.488746 1.911955 0.990284 0.498329 0.024664
88 0.009716 -2.488746 1.911955 0.990284 0.513542 0.021508
89 0.009716 -2.488746 1.911955 0.990284 0.502116 0.024156
90 0.009716 -2.488746 1.911955 0.990284 0.493955 0.021486
91 0.009716 -2.488746 1.911955 0.990284 0.509996 0.033792
92 0.009716 -2.488746 1.911955 0.990284 0.531448 0.021468
93 0.009716 -2.488746 1.911955 0.990284 0.504343 0.003517
94 0.009716 -2.488746 1.911955 0.990284 0.484761 0.022324
95 0.009716 -2.488746 1.911955 0.990284 0.517898 0.002474
96 0.009716 -2.488746 1.911955 0.990284 0.541508 0.026692
97 0.009716 -2.488746 1.911955 0.990284 0.522110 0.036445
98 0.009716 -2.488746 1.911955 0.990284 0.499373 0.049355
99 0.009716 -2.488746 1.911955 0.990284 0.513664 0.087231
100 0.009716 -2.488746 1.911955 0.990284 0.518717 0.053660
101 0.009716 -2.488746 1.911955 0.990284 0.555418 0.056487
102 0.009716 -2.488746 1.911955 0.990284 0.496823 0.038813
103 0.009716 -2.488746 1.911955 0.990284 0.500328 0.038478
104 0.009716 -2.488746 1.911955 0.990284 0.519299 0.022826
105 0.009716 -2.488746 1.911955 0.990284 0.512949 0.002474
106 0.009716 -2.488746 1.911955 0.990284 0.518048 0.057858
107 0.009716 -2.488746 1.911955 0.990284 0.533778 0.024455
108 0.009716 -2.488746 1.911955 0.990284 0.525455 0.037027
109 0.009716 -2.488746 1.911955 0.990284 0.534758 0.073420
110 0.009716 -2.488746 1.911955 0.990284 0.533525 0.068601
111 0.009716 -2.488746 1.911955 0.990284 0.499123 0.002736
112 0.009716 -2.488746 1.911955 0.990284 0.533026 0.015701
113 0.009716 -2.488746 1.911955 0.990284 0.515211 0.021385
114 0.009716 -2.488746 1.911955 0.990284 0.532662 0.104085
115 0.009716 -2.488746 1.911955 0.990284 0.526025 0.022632
116 0.009716 -2.488746 1.911955 0.990284 0.507846 0.028674
