Lp  F6        x1       x2        Ocena     Średni    Najgorszy
0 0.247536 -12.410163 -10.148775 0.752464 0.501327 0.318286
1 0.247536 -12.410163 -10.148775 0.752464 0.502805 0.313215
2 0.247536 -12.410163 -10.148775 0.752464 0.495435 0.076422
3 0.154624 7.197681 10.051118 0.845376 0.507506 0.436196
4 0.154624 7.197681 10.051118 0.845376 0.501485 0.227769
5 0.154624 7.197681 10.051118 0.845376 0.496667 0.317708
6 0.087054 9.269856 0.901808 0.912946 0.508541 0.293176
7 0.087054 9.269856 0.901808 0.912946 0.504551 0.115138
8 0.019456 1.359579 -2.717632 0.980544 0.509962 0.293841
9 0.019456 1.359579 -2.717632 0.980544 0.496854 0.350728
10 0.019456 1.359579 -2.717632 0.980544 0.505258 0.376813
11 0.019456 1.359579 -2.717632 0.980544 0.505758 0.271615
12 0.019456 1.359579 -2.717632 0.980544 0.500470 0.059250
13 0.019456 1.359579 -2.717632 0.980544 0.499934 0.293546
14 0.019456 1.359579 -2.717632 0.980544 0.510690 0.360405
15 0.019456 1.359579 -2.717632 0.980544 0.515379 0.312889
16 0.009732 3.041123 0.791943 0.990268 0.505449 0.240781
17 0.009732 3.041123 0.791943 0.990268 0.491188 0.056377
18 0.009732 3.041123 0.791943 0.990268 0.503224 0.361214
19 0.009732 3.041123 0.791943 0.990268 0.507500 0.023826
20 0.009732 3.041123 0.791943 0.990268 0.494534 0.081231
21 0.009732 3.041123 0.791943 0.990268 0.491156 0.040186
22 0.009732 3.041123 0.791943 0.990268 0.496738 0.201642
23 0.009732 3.041123 0.791943 0.990268 0.496538 0.203963
24 0.009732 3.041123 0.791943 0.990268 0.501125 0.292356
25 0.009732 3.041123 0.791943 0.990268 0.503074 0.322855
26 0.009732 3.041123 0.791943 0.990268 0.498486 0.063181
27 0.009732 3.041123 0.791943 0.990268 0.499210 0.138332
28 0.009732 3.041123 0.791943 0.990268 0.481751 0.027843
29 0.009732 3.041123 0.791943 0.990268 0.507992 0.313227
30 0.009732 3.041123 0.791943 0.990268 0.498058 0.329899
31 0.009732 3.041123 0.791943 0.990268 0.489514 0.120045
32 0.009732 3.041123 0.791943 0.990268 0.499599 0.117355
33 0.009732 3.041123 0.791943 0.990268 0.504714 0.295956
34 0.009732 3.041123 0.791943 0.990268 0.498818 0.167099
35 0.009732 3.041123 0.791943 0.990268 0.490602 0.057803
36 0.009732 3.041123 0.791943 0.990268 0.501152 0.202931
37 0.009732 3.041123 0.791943 0.990268 0.501288 0.296062
38 0.009732 3.041123 0.791943 0.990268 0.495134 0.199938
39 0.009732 3.041123 0.791943 0.990268 0.493718 0.237009
40 0.009732 3.041123 0.791943 0.990268 0.503422 0.157652
41 0.009732 3.041123 0.791943 0.990268 0.494641 0.172100
42 0.009732 3.041123 0.791943 0.990268 0.496165 0.246470
43 0.009732 3.041123 0.791943 0.990268 0.490433 0.234008
44 0.009732 3.041123 0.791943 0.990268 0.494049 0.156095
45 0.009732 3.041123 0.791943 0.990268 0.493349 0.102033
46 0.009732 3.041123 0.791943 0.990268 0.503669 0.326698
47 0.009732 3.041123 0.791943 0.990268 0.501408 0.023299
48 0.009732 3.041123 0.791943 0.990268 0.490473 0.164125
49 0.009732 3.041123 0.791943 0.990268 0.507247 0.385651
50 0.009732 3.041123 0.791943 0.990268 0.497394 0.206094
51 0.009732 3.041123 0.791943 0.990268 0.500281 0.318083
52 0.009732 3.041123 0.791943 0.990268 0.496451 0.199547
53 0.009732 3.041123 0.791943 0.990268 0.500234 0.312755
54 0.009732 3.041123 0.791943 0.990268 0.499878 0.344459
55 0.009732 3.041123 0.791943 0.990268 0.506640 0.258174
56 0.009732 3.041123 0.791943 0.990268 0.505577 0.392960
57 0.009732 3.041123 0.791943 0.990268 0.500262 0.023827
58 0.009732 3.041123 0.791943 0.990268 0.496826 0.167429
59 0.009732 3.041123 0.791943 0.990268 0.490091 0.263283
60 0.009732 3.041123 0.791943 0.990268 0.499630 0.282300
61 0.009732 3.041123 0.791943 0.990268 0.495371 0.118794
62 0.009732 3.041123 0.791943 0.990268 0.497724 0.033870
63 0.009732 3.041123 0.791943 0.990268 0.512198 0.156244
64 0.009732 3.041123 0.791943 0.990268 0.514650 0.364570
65 0.009732 3.041123 0.791943 0.990268 0.495016 0.124265
66 0.009732 3.041123 0.791943 0.990268 0.491054 0.152117
67 0.009732 3.041123 0.791943 0.990268 0.502556 0.360437
68 0.009732 3.041123 0.791943 0.990268 0.502048 0.190739
69 0.009732 3.041123 0.791943 0.990268 0.500000 0.114522
70 0.009732 3.041123 0.791943 0.990268 0.503418 0.073670
71 0.009732 3.041123 0.791943 0.990268 0.501024 0.243563
72 0.009732 3.041123 0.791943 0.990268 0.517791 0.118385
73 0.009732 3.041123 0.791943 0.990268 0.498750 0.296929
74 0.009732 3.041123 0.791943 0.990268 0.514105 0.357135
75 0.009732 3.041123 0.791943 0.990268 0.511917 0.039692
76 0.009732 3.041123 0.791943 0.990268 0.497108 0.157865
77 0.009732 3.041123 0.791943 0.990268 0.501538 0.118421
78 0.009732 3.041123 0.791943 0.990268 0.505211 0.320766
79 0.009732 3.041123 0.791943 0.990268 0.502293 0.311360
80 0.009732 3.041123 0.791943 0.990268 0.502911 0.220542
81 0.009732 3.041123 0.791943 0.990268 0.487547 0.042379
82 0.009732 3.041123 0.791943 0.990268 0.491509 0.025798
83 0.009732 3.041123 0.791943 0.990268 0.493360 0.112595
84 0.009732 3.041123 0.791943 0.990268 0.495884 0.195585
85 0.009732 3.041123 0.791943 0.990268 0.497246 0.192977
86 0.009732 3.041123 0.791943 0.990268 0.486261 0.204206
87 0.009732 3.041123 0.791943 0.990268 0.505212 0.330261
88 0.009732 3.041123 0.791943 0.990268 0.492537 0.058772
89 0.009732 3.041123 0.791943 0.990268 0.497155 0.204825
90 0.009732 3.041123 0.791943 0.990268 0.497287 0.205129
91 0.009732 3.041123 0.791943 0.990268 0.505376 0.082564
92 0.009732 3.041123 0.791943 0.990268 0.507102 0.104889
93 0.009732 3.041123 0.791943 0.990268 0.492603 0.056365
94 0.009732 3.041123 0.791943 0.990268 0.503852 0.224779
95 0.009732 3.041123 0.791943 0.990268 0.488281 0.086979
96 0.009732 3.041123 0.791943 0.990268 0.503833 0.295100
97 0.009732 3.041123 0.791943 0.990268 0.500567 0.431807
98 0.009732 3.041123 0.791943 0.990268 0.496868 0.278550
99 0.009732 3.041123 0.791943 0.990268 0.501589 0.168947
100 0.009732 3.041123 0.791943 0.990268 0.500082 0.192107
101 0.009732 3.041123 0.791943 0.990268 0.498305 0.102964
102 0.009732 3.041123 0.791943 0.990268 0.503446 0.229380
103 0.009732 3.041123 0.791943 0.990268 0.500564 0.230798
104 0.009732 3.041123 0.791943 0.990268 0.500535 0.059885
105 0.009732 3.041123 0.791943 0.990268 0.505881 0.335483
