Lp  F6        x1       x2        Ocena     Średni    Najgorszy
0 0.354250 -25.267414 12.272831 0.645750 0.492420 0.304359
1 0.178263 2.327001 15.513848 0.821737 0.501645 0.330140
2 0.154023 -5.455100 -2.287327 0.845977 0.528716 0.069447
3 0.083014 3.843748 8.513008 0.916986 0.509660 0.088510
4 0.083014 3.843748 8.513008 0.916986 0.504551 0.056869
5 0.083014 3.843748 8.513008 0.916986 0.483212 0.057764
6 0.078537 -3.746090 -8.616770 0.921463 0.511819 0.052962
7 0.078350 3.648432 8.665599 0.921650 0.501252 0.080807
8 0.056510 -3.257801 -5.534447 0.943490 0.506021 0.070343
9 0.053832 3.257801 5.522240 0.946168 0.537563 0.179368
10 0.053832 3.257801 5.522240 0.946168 0.525640 0.235802
11 0.043178 3.465324 5.329976 0.956822 0.524168 0.054852
12 0.039387 -3.694209 -5.134661 0.960613 0.495021 0.058854
13 0.039387 -3.694209 -5.134661 0.960613 0.485772 0.077269
14 0.039387 -3.694209 -5.134661 0.960613 0.478148 0.056562
15 0.039387 -3.694209 -5.134661 0.960613 0.480790 0.062936
16 0.039387 -3.694209 -5.134661 0.960613 0.486188 0.022168
17 0.010386 3.111315 0.080873 0.989614 0.508691 0.025239
18 0.009935 -3.111315 -0.276188 0.990065 0.557694 0.116063
19 0.009935 -3.111315 -0.276188 0.990065 0.515121 0.010771
20 0.009935 -3.111315 -0.276188 0.990065 0.563339 0.081256
21 0.009935 -3.111315 -0.276188 0.990065 0.507155 0.037847
22 0.009935 -3.111315 -0.276188 0.990065 0.505082 0.034604
23 0.009935 -3.111315 -0.276188 0.990065 0.491304 0.106494
24 0.009765 -2.290379 -2.156100 0.990235 0.498954 0.036283
25 0.009765 -2.290379 -2.156100 0.990235 0.507996 0.021513
26 0.009765 -2.290379 -2.156100 0.990235 0.517191 0.235092
27 0.009765 -2.290379 -2.156100 0.990235 0.535770 0.224919
28 0.009765 -2.290379 -2.156100 0.990235 0.491805 0.017106
29 0.009765 -2.290379 -2.156100 0.990235 0.530761 0.006080
30 0.009765 -2.290379 -2.156100 0.990235 0.494774 0.056366
31 0.009765 -2.290379 -2.156100 0.990235 0.512396 0.047210
32 0.009765 -2.290379 -2.156100 0.990235 0.500381 0.008932
33 0.009765 -2.290379 -2.156100 0.990235 0.495929 0.073310
34 0.009765 -2.290379 -2.156100 0.990235 0.513490 0.090669
35 0.009765 -2.290379 -2.156100 0.990235 0.518265 0.002463
36 0.009765 -2.290379 -2.156100 0.990235 0.510658 0.058023
37 0.009765 -2.290379 -2.156100 0.990235 0.526247 0.015889
38 0.009765 -2.290379 -2.156100 0.990235 0.516119 0.020912
39 0.009765 -2.290379 -2.156100 0.990235 0.533212 0.055091
40 0.009765 -2.290379 -2.156100 0.990235 0.485063 0.004530
41 0.009765 -2.290379 -2.156100 0.990235 0.491970 0.069361
42 0.009765 -2.290379 -2.156100 0.990235 0.513715 0.154007
43 0.009765 -2.290379 -2.156100 0.990235 0.522413 0.083031
44 0.009765 -2.290379 -2.156100 0.990235 0.549465 0.063917
45 0.009765 -2.290379 -2.156100 0.990235 0.496131 0.002583
46 0.009765 -2.290379 -2.156100 0.990235 0.505491 0.105180
47 0.009765 -2.290379 -2.156100 0.990235 0.549060 0.084874
48 0.009765 -2.290379 -2.156100 0.990235 0.545334 0.092700
49 0.009717 2.229343 2.207980 0.990283 0.543662 0.030401
50 0.009717 2.229343 2.207980 0.990283 0.514778 0.138208
51 0.009717 2.229343 2.207980 0.990283 0.492652 0.024694
52 0.009717 2.229343 2.207980 0.990283 0.500841 0.043205
53 0.009717 2.229343 2.207980 0.990283 0.518859 0.020985
54 0.009717 2.229343 2.207980 0.990283 0.514229 0.030677
55 0.009717 2.229343 2.207980 0.990283 0.495438 0.039439
56 0.009717 2.229343 2.207980 0.990283 0.502698 0.008032
57 0.009717 2.229343 2.207980 0.990283 0.533930 0.108880
58 0.009717 2.229343 2.207980 0.990283 0.521547 0.002821
59 0.009717 2.229343 2.207980 0.990283 0.534653 0.065591
60 0.009717 2.229343 2.207980 0.990283 0.514604 0.102962
61 0.009717 2.229343 2.207980 0.990283 0.536544 0.118435
62 0.009717 2.229343 2.207980 0.990283 0.518444 0.173964
63 0.009717 2.229343 2.207980 0.990283 0.498110 0.164871
64 0.009717 2.229343 2.207980 0.990283 0.534870 0.048938
