Lp  F6        x1       x2        Ocena     Średni    Najgorszy
0 0.059435 -1.759365 -6.187533 0.940565 0.510175 0.021609
1 0.012643 -1.762417 -2.662699 0.987357 0.539430 0.132409
2 0.009965 -1.780728 -2.565042 0.990035 0.554782 0.156889
3 0.009716 -1.774624 -2.589456 0.990284 0.498294 0.021472
4 0.009716 -1.774624 -2.589456 0.990284 0.483315 0.049132
5 0.009716 -1.774624 -2.589456 0.990284 0.530704 0.047739
6 0.009716 -1.774624 -2.589456 0.990284 0.522634 0.121396
7 0.009716 -1.774624 -2.589456 0.990284 0.516613 0.058796
8 0.009716 -1.774624 -2.589456 0.990284 0.515430 0.080614
9 0.009716 -1.774624 -2.589456 0.990284 0.532450 0.126568
10 0.009716 -1.774624 -2.589456 0.990284 0.529017 0.135421
11 0.009716 -1.774624 -2.589456 0.990284 0.541306 0.088068
12 0.009716 -1.774624 -2.589456 0.990284 0.506246 0.064639
13 0.009716 -1.774624 -2.589456 0.990284 0.537809 0.151075
14 0.009716 -1.774624 -2.589456 0.990284 0.517709 0.137068
15 0.009716 -1.774624 -2.589456 0.990284 0.521040 0.108923
16 0.009716 -1.774624 -2.589456 0.990284 0.505107 0.026770
17 0.009716 -1.774624 -2.589456 0.990284 0.541344 0.084226
18 0.009716 -1.774624 -2.589456 0.990284 0.532835 0.033952
19 0.009716 -1.774624 -2.589456 0.990284 0.544477 0.022304
20 0.009716 -1.774624 -2.589456 0.990284 0.517402 0.125266
21 0.009716 -1.774624 -2.589456 0.990284 0.539195 0.023698
22 0.009716 -1.774624 -2.589456 0.990284 0.556724 0.068047
23 0.009716 -1.774624 -2.589456 0.990284 0.531470 0.040207
24 0.009716 -1.774624 -2.589456 0.990284 0.512110 0.005651
25 0.009716 -1.774624 -2.589456 0.990284 0.512509 0.099903
26 0.009716 -1.774624 -2.589456 0.990284 0.498730 0.053926
27 0.009716 -1.774624 -2.589456 0.990284 0.481729 0.035625
28 0.009716 -1.774624 -2.589456 0.990284 0.525362 0.069885
29 0.009716 -1.774624 -2.589456 0.990284 0.524822 0.004372
30 0.009716 -1.774624 -2.589456 0.990284 0.538620 0.002892
31 0.009716 -1.774624 -2.589456 0.990284 0.510207 0.031138
32 0.009716 -1.774624 -2.589456 0.990284 0.527276 0.042714
33 0.009716 -1.774624 -2.589456 0.990284 0.520301 0.048502
34 0.009716 -1.774624 -2.589456 0.990284 0.499761 0.104303
35 0.009716 -1.774624 -2.589456 0.990284 0.500438 0.008507
36 0.009716 -1.774624 -2.589456 0.990284 0.530878 0.025005
37 0.009716 -1.774624 -2.589456 0.990284 0.504491 0.004474
38 0.009716 -1.774624 -2.589456 0.990284 0.543237 0.059175
39 0.009716 -1.774624 -2.589456 0.990284 0.516730 0.028551
40 0.009716 -1.774624 -2.589456 0.990284 0.502428 0.046395
41 0.009716 -1.774624 -2.589456 0.990284 0.515838 0.037906
42 0.009716 -1.774624 -2.589456 0.990284 0.517908 0.038209
43 0.009716 -1.774624 -2.589456 0.990284 0.498967 0.063884
44 0.009716 -1.774624 -2.589456 0.990284 0.514007 0.011119
45 0.009716 -1.774624 -2.589456 0.990284 0.497828 0.030655
46 0.009716 -1.774624 -2.589456 0.990284 0.489024 0.056869
47 0.009716 -1.774624 -2.589456 0.990284 0.532234 0.025596
48 0.009716 -1.774624 -2.589456 0.990284 0.541137 0.151754
49 0.009716 -1.774624 -2.589456 0.990284 0.517165 0.028346
50 0.009716 -1.774624 -2.589456 0.990284 0.520881 0.133618
51 0.009716 -1.774624 -2.589456 0.990284 0.508579 0.036029
52 0.009716 -1.774624 -2.589456 0.990284 0.515243 0.121191
53 0.009716 -1.774624 -2.589456 0.990284 0.513448 0.059076
54 0.009716 -1.774624 -2.589456 0.990284 0.514754 0.037280
55 0.009716 -1.774624 -2.589456 0.990284 0.521443 0.023128
56 0.009716 -1.774624 -2.589456 0.990284 0.530034 0.023268
57 0.009716 -1.774624 -2.589456 0.990284 0.493082 0.026698
58 0.009716 -1.774624 -2.589456 0.990284 0.517385 0.158745
59 0.009716 -1.774624 -2.589456 0.990284 0.529991 0.061037
60 0.009716 -1.774624 -2.589456 0.990284 0.491040 0.041864
