Lp  F6        x1       x2        Ocena     Średni    Najgorszy
0 0.187115 -8.622873 -13.255512 0.812885 0.498713 0.102496
1 0.078294 8.635080 3.782712 0.921706 0.506967 0.209381
2 0.078276 -7.856870 -5.171283 0.921724 0.498246 0.082895
3 0.078226 7.832456 5.238422 0.921774 0.513828 0.199841
4 0.078226 7.832456 5.238422 0.921774 0.513094 0.098952
5 0.078226 7.832456 5.238422 0.921774 0.518354 0.150677
6 0.044617 -2.360571 -5.912871 0.955383 0.494313 0.103804
7 0.009716 1.774624 2.589456 0.990284 0.525189 0.066443
8 0.009716 1.774624 2.589456 0.990284 0.505856 0.047490
9 0.009716 1.774624 2.589456 0.990284 0.489520 0.005914
10 0.009716 1.774624 2.589456 0.990284 0.536976 0.061663
11 0.009716 1.774624 2.589456 0.990284 0.522466 0.117278
12 0.009716 1.774624 2.589456 0.990284 0.506928 0.083161
13 0.009716 1.774624 2.589456 0.990284 0.525633 0.102155
14 0.009716 1.774624 2.589456 0.990284 0.534057 0.088514
15 0.009716 1.774624 2.589456 0.990284 0.514002 0.043000
16 0.009716 1.774624 2.589456 0.990284 0.540069 0.045627
17 0.009716 1.774624 2.589456 0.990284 0.520833 0.079444
18 0.009716 1.774624 2.589456 0.990284 0.491629 0.021554
19 0.009716 1.774624 2.589456 0.990284 0.524965 0.114439
20 0.009716 1.774624 2.589456 0.990284 0.520551 0.153450
21 0.009716 1.774624 2.589456 0.990284 0.539204 0.086593
22 0.009716 1.774624 2.589456 0.990284 0.532793 0.022884
23 0.009716 1.774624 2.589456 0.990284 0.530115 0.052852
24 0.009716 1.774624 2.589456 0.990284 0.532346 0.026096
25 0.009716 1.774624 2.589456 0.990284 0.526065 0.030876
26 0.009716 1.774624 2.589456 0.990284 0.536229 0.142041
27 0.009716 1.774624 2.589456 0.990284 0.514478 0.103813
28 0.009716 1.774624 2.589456 0.990284 0.509560 0.021805
29 0.009716 1.774624 2.589456 0.990284 0.512700 0.122443
30 0.009716 1.774624 2.589456 0.990284 0.556060 0.005110
31 0.009716 1.774624 2.589456 0.990284 0.507465 0.049602
32 0.009716 1.774624 2.589456 0.990284 0.514658 0.016654
33 0.009716 1.774624 2.589456 0.990284 0.546979 0.049746
34 0.009716 1.774624 2.589456 0.990284 0.550571 0.012595
35 0.009716 1.774624 2.589456 0.990284 0.532827 0.023496
36 0.009716 1.774624 2.589456 0.990284 0.544942 0.056571
37 0.009716 1.774624 2.589456 0.990284 0.516628 0.008722
38 0.009716 1.774624 2.589456 0.990284 0.540214 0.002457
39 0.009716 1.774624 2.589456 0.990284 0.492876 0.009106
40 0.009716 1.774624 2.589456 0.990284 0.523873 0.005382
41 0.009716 1.774624 2.589456 0.990284 0.527548 0.016174
42 0.009716 1.774624 2.589456 0.990284 0.506843 0.002637
43 0.009716 1.774624 2.589456 0.990284 0.506970 0.022692
44 0.009716 1.774624 2.589456 0.990284 0.529950 0.036579
45 0.009716 1.774624 2.589456 0.990284 0.515443 0.005586
46 0.009716 1.774624 2.589456 0.990284 0.531411 0.179781
47 0.009716 1.774624 2.589456 0.990284 0.553867 0.128039
48 0.009716 1.774624 2.589456 0.990284 0.532588 0.011648
49 0.009716 1.774624 2.589456 0.990284 0.521042 0.059325
50 0.009716 1.774624 2.589456 0.990284 0.554174 0.019539
51 0.009716 1.774624 2.589456 0.990284 0.540864 0.063747
52 0.009716 1.774624 2.589456 0.990284 0.522423 0.054969
53 0.009716 1.774624 2.589456 0.990284 0.523034 0.067885
54 0.009716 1.774624 2.589456 0.990284 0.524199 0.171596
55 0.009716 1.774624 2.589456 0.990284 0.529173 0.048635
56 0.009716 1.774624 2.589456 0.990284 0.550741 0.096380
57 0.009716 1.774624 2.589456 0.990284 0.532479 0.187461
58 0.009716 1.774624 2.589456 0.990284 0.560520 0.063564
59 0.009716 1.774624 2.589456 0.990284 0.514410 0.166068
60 0.009716 1.774624 2.589456 0.990284 0.504012 0.009291
61 0.009716 1.774624 2.589456 0.990284 0.525894 0.048273
62 0.009716 1.774624 2.589456 0.990284 0.505880 0.022342
63 0.009716 1.774624 2.589456 0.990284 0.529309 0.122914
64 0.009716 1.774624 2.589456 0.990284 0.533444 0.162762
65 0.009716 1.756313 2.601663 0.990284 0.519009 0.193760
66 0.009716 1.756313 2.601663 0.990284 0.522191 0.135829
67 0.009716 1.756313 2.601663 0.990284 0.540045 0.162163
68 0.009716 1.756313 2.601663 0.990284 0.515409 0.042288
69 0.009716 1.756313 2.601663 0.990284 0.531218 0.042429
70 0.009716 1.756313 2.601663 0.990284 0.504479 0.056413
71 0.009716 1.756313 2.601663 0.990284 0.504295 0.022054
72 0.009716 1.756313 2.601663 0.990284 0.535651 0.066036
73 0.009716 1.756313 2.601663 0.990284 0.519306 0.113012
74 0.009716 1.756313 2.601663 0.990284 0.515934 0.082823
75 0.009716 1.756313 2.601663 0.990284 0.518000 0.025912
76 0.009716 1.756313 2.601663 0.990284 0.530191 0.106540
77 0.009716 1.756313 2.601663 0.990284 0.509907 0.075264
78 0.009716 1.756313 2.601663 0.990284 0.531259 0.048449
79 0.009716 1.756313 2.601663 0.990284 0.522799 0.126708
80 0.009716 1.756313 2.601663 0.990284 0.535197 0.167887
81 0.009716 1.756313 2.601663 0.990284 0.497468 0.007486
82 0.009716 1.756313 2.601663 0.990284 0.507194 0.022660
83 0.009716 1.756313 2.601663 0.990284 0.529176 0.032330
84 0.009716 1.756313 2.601663 0.990284 0.516368 0.022113
85 0.009716 1.756313 2.601663 0.990284 0.501871 0.023769
86 0.009716 1.756313 2.601663 0.990284 0.535737 0.073686
87 0.009716 1.756313 2.601663 0.990284 0.536926 0.021565
88 0.000732 -0.025940 -0.007630 0.999268 0.503277 0.005309
89 0.000732 -0.025940 -0.007630 0.999268 0.507187 0.038839
90 0.000732 -0.025940 -0.007630 0.999268 0.523419 0.003954
91 0.000732 -0.025940 -0.007630 0.999268 0.504581 0.028542
92 0.000732 -0.025940 -0.007630 0.999268 0.495703 0.094340
93 0.000732 -0.025940 -0.007630 0.999268 0.541268 0.128861
94 0.000732 -0.025940 -0.007630 0.999268 0.531875 0.022290
95 0.000732 -0.025940 -0.007630 0.999268 0.543952 0.036504
96 0.000732 -0.025940 -0.007630 0.999268 0.535381 0.073535
97 0.000732 -0.025940 -0.007630 0.999268 0.511158 0.056369
98 0.000732 -0.025940 -0.007630 0.999268 0.525802 0.159956
99 0.000732 -0.025940 -0.007630 0.999268 0.527555 0.192343
100 0.000732 -0.025940 -0.007630 0.999268 0.485227 0.010557
101 0.000732 -0.025940 -0.007630 0.999268 0.550956 0.069108
102 0.000732 -0.025940 -0.007630 0.999268 0.544807 0.024144
103 0.000732 -0.025940 -0.007630 0.999268 0.502124 0.003827
104 0.000732 -0.025940 -0.007630 0.999268 0.503241 0.002462
105 0.000732 -0.025940 -0.007630 0.999268 0.530572 0.002947
106 0.000732 -0.025940 -0.007630 0.999268 0.509438 0.022658
107 0.000732 -0.025940 -0.007630 0.999268 0.538983 0.071475
108 0.000732 -0.025940 -0.007630 0.999268 0.514545 0.056724
109 0.000732 -0.025940 -0.007630 0.999268 0.494604 0.058547
110 0.000732 -0.025940 -0.007630 0.999268 0.537202 0.057187
111 0.000732 -0.025940 -0.007630 0.999268 0.505993 0.004518
