Lp  F6        x1       x2        Ocena     Średni    Najgorszy
0 0.018824 -3.233387 -0.102235 0.981176 0.513645 0.032899
1 0.009842 -3.135729 -0.297551 0.990158 0.537027 0.021586
2 0.009828 -3.132677 -0.321965 0.990172 0.518776 0.002492
3 0.009828 -3.132677 -0.321965 0.990172 0.505038 0.011991
4 0.009828 -3.132677 -0.321965 0.990172 0.516624 0.022686
5 0.009828 -3.132677 -0.321965 0.990172 0.540601 0.003067
6 0.009828 -3.132677 -0.321965 0.990172 0.496782 0.105402
7 0.009828 -3.132677 -0.321965 0.990172 0.519654 0.031060
8 0.009828 -3.132677 -0.321965 0.990172 0.506769 0.057800
9 0.009828 -3.132677 -0.321965 0.990172 0.512279 0.014791
10 0.009828 -3.132677 -0.321965 0.990172 0.516983 0.021681
11 0.009828 -3.132677 -0.321965 0.990172 0.525348 0.022101
12 0.009828 -3.132677 -0.321965 0.990172 0.514149 0.035582
13 0.009828 -3.132677 -0.321965 0.990172 0.498553 0.035288
14 0.009828 -3.132677 -0.321965 0.990172 0.496070 0.034536
15 0.009828 -3.132677 -0.321965 0.990172 0.487058 0.023736
16 0.009828 -3.132677 -0.321965 0.990172 0.496832 0.022068
17 0.009828 -3.132677 -0.321965 0.990172 0.509652 0.157130
18 0.009828 -3.132677 -0.321965 0.990172 0.491197 0.032347
19 0.009828 -3.132677 -0.321965 0.990172 0.539549 0.173937
20 0.009828 -3.132677 -0.321965 0.990172 0.516748 0.031092
21 0.009828 -3.132677 -0.321965 0.990172 0.506462 0.048978
22 0.009828 -3.132677 -0.321965 0.990172 0.502729 0.032274
23 0.009828 -3.132677 -0.321965 0.990172 0.517859 0.059276
24 0.009828 -3.132677 -0.321965 0.990172 0.490041 0.024111
25 0.009828 -3.132677 -0.321965 0.990172 0.510978 0.028647
26 0.009828 -3.132677 -0.321965 0.990172 0.512428 0.024003
27 0.009828 -3.132677 -0.321965 0.990172 0.513082 0.017552
28 0.009828 -3.132677 -0.321965 0.990172 0.539303 0.035607
29 0.009747 1.255818 -2.882429 0.990253 0.502734 0.002941
30 0.009747 1.255818 -2.882429 0.990253 0.528316 0.025555
31 0.009747 1.255818 -2.882429 0.990253 0.514651 0.091554
32 0.009747 1.255818 -2.882429 0.990253 0.535256 0.118071
33 0.009747 1.255818 -2.882429 0.990253 0.530287 0.036779
34 0.009747 1.255818 -2.882429 0.990253 0.507658 0.100953
35 0.009747 1.255818 -2.882429 0.990253 0.500216 0.005074
36 0.009747 1.255818 -2.882429 0.990253 0.515014 0.170761
37 0.009747 1.255818 -2.882429 0.990253 0.512608 0.071490
38 0.009747 1.255818 -2.882429 0.990253 0.522529 0.058320
39 0.009747 1.255818 -2.882429 0.990253 0.492168 0.003341
40 0.009747 1.255818 -2.882429 0.990253 0.497543 0.036860
41 0.009747 1.255818 -2.882429 0.990253 0.515579 0.021530
42 0.009747 1.255818 -2.882429 0.990253 0.524029 0.081273
43 0.009747 1.255818 -2.882429 0.990253 0.548695 0.087837
44 0.009747 1.255818 -2.882429 0.990253 0.502700 0.023942
45 0.009747 1.255818 -2.882429 0.990253 0.543831 0.021524
46 0.009747 1.255818 -2.882429 0.990253 0.517831 0.080584
47 0.009747 1.255818 -2.882429 0.990253 0.521589 0.062094
48 0.009747 1.255818 -2.882429 0.990253 0.526481 0.030082
49 0.009747 1.255818 -2.882429 0.990253 0.537004 0.136400
50 0.009747 1.255818 -2.882429 0.990253 0.526062 0.107572
51 0.009747 1.255818 -2.882429 0.990253 0.522454 0.108010
52 0.009719 2.186618 -2.253758 0.990281 0.514439 0.070056
53 0.009719 2.186618 -2.253758 0.990281 0.538442 0.130382
54 0.009719 2.186618 -2.253758 0.990281 0.526609 0.132101
55 0.009719 2.186618 -2.253758 0.990281 0.512291 0.057777
56 0.009719 2.186618 -2.253758 0.990281 0.534970 0.105887
57 0.009719 2.186618 -2.253758 0.990281 0.535169 0.033717
58 0.009719 2.186618 -2.253758 0.990281 0.507783 0.004865
59 0.009719 2.186618 -2.253758 0.990281 0.520979 0.057025
60 0.009719 2.186618 -2.253758 0.990281 0.513596 0.030599
61 0.009719 2.186618 -2.253758 0.990281 0.538973 0.023074
62 0.009719 2.186618 -2.253758 0.990281 0.516650 0.021012
63 0.009719 2.186618 -2.253758 0.990281 0.554702 0.068847
64 0.009719 2.186618 -2.253758 0.990281 0.540807 0.080087
65 0.009719 2.186618 -2.253758 0.990281 0.532224 0.041979
66 0.009719 2.186618 -2.253758 0.990281 0.496186 0.032463
67 0.009719 2.186618 -2.253758 0.990281 0.504614 0.116785
68 0.009719 2.186618 -2.253758 0.990281 0.484585 0.009252
69 0.009719 2.186618 -2.253758 0.990281 0.501523 0.067284
70 0.009719 2.186618 -2.253758 0.990281 0.517699 0.103610
