Lp  F6        x1       x2        Ocena     Średni    Najgorszy
0 0.009723 -1.646448 -2.668803 0.990277 0.497068 0.105733
1 0.009723 -1.646448 -2.668803 0.990277 0.519021 0.136016
2 0.009723 -1.646448 -2.668803 0.990277 0.550464 0.086422
3 0.009723 -1.646448 -2.668803 0.990277 0.498699 0.021563
4 0.009723 -1.646448 -2.668803 0.990277 0.507719 0.002794
5 0.009723 -1.646448 -2.668803 0.990277 0.505306 0.002499
6 0.009723 -1.646448 -2.668803 0.990277 0.502950 0.003144
7 0.009723 -1.646448 -2.668803 0.990277 0.519230 0.022733
8 0.009723 -1.646448 -2.668803 0.990277 0.518466 0.024881
9 0.009723 -1.646448 -2.668803 0.990277 0.548406 0.002717
10 0.009723 -1.646448 -2.668803 0.990277 0.514284 0.004090
11 0.009723 -1.646448 -2.668803 0.990277 0.526591 0.153172
12 0.009723 -1.646448 -2.668803 0.990277 0.515736 0.063477
13 0.009723 -1.646448 -2.668803 0.990277 0.557435 0.027411
14 0.009723 -1.646448 -2.668803 0.990277 0.536152 0.156517
15 0.009723 -1.646448 -2.668803 0.990277 0.489227 0.023487
16 0.009723 -1.646448 -2.668803 0.990277 0.525155 0.104201
17 0.009723 -1.646448 -2.668803 0.990277 0.514960 0.030246
18 0.009723 -1.646448 -2.668803 0.990277 0.524732 0.003423
19 0.009723 -1.646448 -2.668803 0.990277 0.509673 0.058727
20 0.009723 -1.646448 -2.668803 0.990277 0.512599 0.012497
21 0.009723 -1.646448 -2.668803 0.990277 0.499457 0.010335
22 0.009723 -1.646448 -2.668803 0.990277 0.490083 0.033012
23 0.009723 -1.646448 -2.668803 0.990277 0.519619 0.021950
24 0.009723 -1.646448 -2.668803 0.990277 0.497917 0.024710
25 0.009723 -2.906844 -1.176471 0.990277 0.532895 0.029249
26 0.009723 -2.906844 -1.176471 0.990277 0.519898 0.042060
27 0.009723 -2.906844 -1.176471 0.990277 0.523424 0.003304
28 0.009723 -2.906844 -1.176471 0.990277 0.514538 0.018260
29 0.009723 -2.906844 -1.176471 0.990277 0.510063 0.003147
30 0.009723 -2.906844 -1.176471 0.990277 0.539859 0.075498
31 0.009723 -2.906844 -1.176471 0.990277 0.510585 0.022217
32 0.009717 -3.068589 -0.654612 0.990283 0.517908 0.003780
33 0.009717 -3.068589 -0.654612 0.990283 0.519804 0.043115
34 0.009717 -3.068589 -0.654612 0.990283 0.505645 0.002568
35 0.009717 -3.068589 -0.654612 0.990283 0.513265 0.076130
36 0.009717 -3.068589 -0.654612 0.990283 0.518461 0.022224
37 0.009717 -3.068589 -0.654612 0.990283 0.502062 0.007254
38 0.009717 -3.068589 -0.654612 0.990283 0.542810 0.038361
39 0.009717 -3.068589 -0.654612 0.990283 0.511199 0.023746
40 0.009717 -3.068589 -0.654612 0.990283 0.497267 0.032603
41 0.009717 -3.068589 -0.654612 0.990283 0.512061 0.059371
42 0.009717 -3.068589 -0.654612 0.990283 0.507882 0.056669
43 0.009717 -3.068589 -0.654612 0.990283 0.491822 0.039837
44 0.009717 -3.068589 -0.654612 0.990283 0.537952 0.066649
45 0.009717 -3.068589 -0.654612 0.990283 0.492491 0.022543
46 0.009717 -3.068589 -0.654612 0.990283 0.489564 0.058615
47 0.009717 -3.068589 -0.654612 0.990283 0.524471 0.021612
48 0.009717 -3.068589 -0.654612 0.990283 0.529873 0.028402
49 0.009717 -3.068589 -0.654612 0.990283 0.511953 0.003303
50 0.009717 -3.068589 -0.654612 0.990283 0.521348 0.114143
51 0.009717 -3.068589 -0.654612 0.990283 0.485986 0.003319
52 0.009717 -3.068589 -0.654612 0.990283 0.500283 0.044098
53 0.009717 -3.068589 -0.654612 0.990283 0.508920 0.010931
54 0.009717 -3.068589 -0.654612 0.990283 0.519741 0.003347
55 0.009717 -3.068589 -0.654612 0.990283 0.532143 0.089191
56 0.009717 -3.068589 -0.654612 0.990283 0.491501 0.003034
57 0.009717 -3.068589 -0.654612 0.990283 0.500625 0.074062
58 0.009717 -3.068589 -0.654612 0.990283 0.538207 0.023526
